"sex"	"age_group_2"	"year"	"Age-Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
1	2	1971	4.26	4.06	0.70	NA	4	4
1	2	1972	3.74	4.09	0.65	NA	4	4
1	2	1973	4.37	4.11	0.69	NA	4	4
1	2	1974	2.65	4.14	0.51	NA	4	4
1	2	1975	4.62	4.16	0.69	NA	4	4
1	2	1976	4.43	4.19	0.67	NA	4	4
1	2	1977	4.19	4.21	0.64	NA	4	4
1	2	1978	4.91	4.24	0.70	NA	4	4
1	2	1979	3.34	4.27	0.55	NA	4	4
1	2	1980	4.47	4.29	0.66	NA	4	4
1	2	1981	4.57	4.32	0.66	NA	4	4
1	2	1982	4.20	4.34	0.63	NA	4	4
1	2	1983	4.32	4.37	0.63	Joinpoint 1	4	4
1	2	1984	4.33	4.14	0.62	NA	4	4
1	2	1985	3.57	3.92	0.55	NA	4	4
1	2	1986	4.04	3.71	0.58	NA	4	4
1	2	1987	3.27	3.52	0.52	NA	4	4
1	2	1988	3.36	3.33	0.51	NA	4	4
1	2	1989	3.31	3.16	0.48	Joinpoint 2	4	4
1	2	1990	2.99	3.17	0.44	NA	4	4
1	2	1991	3.06	3.19	0.44	NA	4	4
1	2	1992	3.52	3.21	0.46	NA	4	4
1	2	1993	3.01	3.22	0.41	NA	4	4
1	2	1994	3.70	3.24	0.45	NA	4	4
1	2	1995	3.29	3.26	0.41	NA	4	4
1	2	1996	2.80	3.27	0.37	NA	4	4
1	2	1997	3.22	3.29	0.39	NA	4	4
1	2	1998	3.26	3.31	0.39	NA	4	4
1	2	1999	3.25	3.32	0.39	NA	4	4
1	2	2000	3.49	3.34	0.40	NA	4	4
1	2	2001	3.13	3.36	0.38	NA	4	4
1	2	2002	3.25	3.37	0.38	NA	4	4
1	2	2003	3.46	3.39	0.40	NA	4	4
1	2	2004	3.79	3.41	0.42	NA	4	4
1	2	2005	3.87	3.42	0.42	NA	4	4
1	2	2006	3.61	3.44	0.40	Joinpoint 3	4	4
1	2	2007	4.01	3.74	0.42	NA	4	4
1	2	2008	3.36	4.05	0.39	NA	4	4
1	2	2009	3.56	4.40	0.40	NA	4	4
1	2	2010	4.33	4.77	0.44	NA	4	4
1	2	2011	4.98	5.18	0.47	NA	4	4
1	2	2012	6.07	5.62	0.52	Joinpoint 4	4	4
1	2	2013	6.00	5.43	0.53	NA	4	4
1	2	2014	5.65	5.24	0.52	NA	4	4
1	2	2015	4.53	5.06	0.46	NA	4	4
1	2	2016	5.03	4.89	0.48	NA	4	4
1	2	2017	4.62	4.72	0.46	NA	4	4
0	0	1970	60.14	58.96	2.87	NA	4	4
0	0	1971	62.72	59.08	2.89	NA	4	4
0	0	1972	53.37	59.20	2.61	NA	4	4
0	0	1973	62.97	59.32	2.79	NA	4	4
0	0	1974	57.00	59.45	2.61	NA	4	4
0	0	1975	59.39	59.57	2.61	NA	4	4
0	0	1976	58.78	59.69	2.56	NA	4	4
0	0	1977	57.27	59.82	2.48	NA	4	4
0	0	1978	65.06	59.94	2.60	NA	4	4
0	0	1979	58.00	60.07	2.41	NA	4	4
0	0	1980	61.16	60.19	2.43	NA	4	4
0	0	1981	59.68	60.32	2.36	NA	4	4
0	0	1982	57.93	60.44	2.30	NA	4	4
0	0	1983	59.14	60.57	2.29	NA	4	4
0	0	1984	62.45	60.69	2.31	NA	4	4
0	0	1985	62.90	60.82	2.28	Joinpoint 1	4	4
0	0	1986	59.63	59.40	2.20	NA	4	4
0	0	1987	55.86	58.02	2.09	NA	4	4
0	0	1988	56.85	56.67	2.07	NA	4	4
0	0	1989	55.75	55.35	2.03	NA	4	4
0	0	1990	55.70	54.06	2.00	NA	4	4
0	0	1991	50.07	52.80	1.87	Joinpoint 2	4	4
0	0	1992	54.74	52.69	1.93	NA	4	4
0	0	1993	54.50	52.58	1.89	NA	4	4
0	0	1994	50.64	52.47	1.78	NA	4	4
0	0	1995	50.22	52.36	1.74	NA	4	4
0	0	1996	51.84	52.25	1.74	NA	4	4
0	0	1997	50.98	52.14	1.71	NA	4	4
0	0	1998	50.23	52.03	1.67	NA	4	4
0	0	1999	51.34	51.92	1.68	NA	4	4
0	0	2000	56.17	51.81	1.72	NA	4	4
0	0	2001	52.78	51.70	1.64	NA	4	4
0	0	2002	53.71	51.59	1.64	NA	4	4
0	0	2003	51.62	51.48	1.58	NA	4	4
0	0	2004	51.42	51.37	1.56	NA	4	4
0	0	2005	52.22	51.26	1.56	NA	4	4
0	0	2006	52.27	51.16	1.54	Joinpoint 3	4	4
0	0	2007	50.22	51.96	1.48	NA	4	4
0	0	2008	51.58	52.77	1.48	NA	4	4
0	0	2009	51.02	53.60	1.46	NA	4	4
0	0	2010	53.06	54.43	1.47	NA	4	4
0	0	2011	52.11	55.29	1.44	NA	4	4
0	0	2012	56.59	56.15	1.48	Joinpoint 4	4	4
0	0	2013	56.31	54.21	1.46	NA	4	4
0	0	2014	55.26	52.34	1.43	NA	4	4
0	0	2015	53.39	50.53	1.40	NA	4	4
0	0	2016	47.88	48.78	1.31	NA	4	4
0	0	2017	44.50	47.09	1.25	NA	4	4
1	0	1970	65.66	72.74	3.24	NA	1	1
1	0	1971	74.08	72.84	3.38	NA	1	1
1	0	1972	67.71	72.94	3.16	NA	1	1
1	0	1973	64.22	73.04	3.09	NA	1	1
1	0	1974	70.77	73.14	3.19	NA	1	1
1	0	1975	73.24	73.25	3.23	NA	1	1
1	0	1976	72.04	73.35	3.15	NA	1	1
1	0	1977	69.79	73.45	3.05	NA	1	1
1	0	1978	73.76	73.55	3.11	NA	1	1
1	0	1979	71.55	73.65	3.03	NA	1	1
1	0	1980	75.26	73.75	3.09	NA	1	1
1	0	1981	79.35	73.85	3.14	NA	1	1
1	0	1982	77.52	73.95	3.03	NA	1	1
1	0	1983	73.33	74.06	2.91	NA	1	1
1	0	1984	79.38	74.16	2.96	NA	1	1
1	0	1985	83.27	74.26	3.02	NA	1	1
1	0	1986	79.52	74.36	2.89	NA	1	1
1	0	1987	82.79	74.46	2.93	NA	1	1
1	0	1988	68.14	74.57	2.56	NA	1	1
1	0	1989	75.19	74.67	2.64	NA	1	1
1	0	1990	68.77	74.77	2.53	NA	1	1
1	0	1991	76.57	74.87	2.60	NA	1	1
1	0	1992	78.94	74.98	2.59	NA	1	1
1	0	1993	77.00	75.08	2.53	NA	1	1
1	0	1994	77.93	75.18	2.48	NA	1	1
1	0	1995	73.09	75.29	2.38	NA	1	1
1	0	1996	70.48	75.39	2.28	NA	1	1
1	0	1997	75.86	75.50	2.36	NA	1	1
1	0	1998	75.83	75.60	2.32	NA	1	1
1	0	1999	79.04	75.70	2.33	NA	1	1
1	0	2000	80.29	75.81	2.32	NA	1	1
1	0	2001	75.70	75.91	2.21	NA	1	1
1	0	2002	72.76	76.02	2.12	NA	1	1
1	0	2003	73.59	76.12	2.11	NA	1	1
1	0	2004	75.17	76.23	2.10	NA	1	1
1	0	2005	75.80	76.33	2.06	NA	1	1
1	0	2006	73.53	76.44	2.00	NA	1	1
1	0	2007	74.79	76.54	1.99	NA	1	1
1	0	2008	73.96	76.65	1.94	NA	1	1
1	0	2009	74.76	76.75	1.93	NA	1	1
1	0	2010	74.78	76.86	1.88	NA	1	1
1	0	2011	72.60	76.96	1.82	NA	1	1
1	0	2012	77.63	77.07	1.85	Joinpoint 1	1	1
1	0	2013	78.59	74.95	1.84	NA	1	1
1	0	2014	80.71	72.89	1.83	NA	1	1
1	0	2015	75.08	70.88	1.73	NA	1	1
1	0	2016	66.71	68.93	1.61	NA	1	1
1	0	2017	62.40	67.03	1.55	NA	1	1
