"cancer"	"year"	"Age-Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
0	2010	6.09	5.65	0.54	NA	1	1
0	2011	5.33	5.76	0.49	NA	1	1
0	2012	6.62	5.87	0.54	NA	1	1
0	2013	6.02	5.99	0.50	NA	1	1
0	2014	6.02	6.10	0.50	NA	1	1
0	2015	5.77	6.22	0.48	NA	1	1
0	2016	6.70	6.34	0.50	NA	1	1
0	2017	6.49	6.46	0.49	NA	1	1
1	1970	1.04	1.98	0.40	NA	0	0
1	1971	1.96	1.94	0.56	NA	0	0
1	1972	2.34	1.91	0.64	NA	0	0
1	1973	2.44	1.88	0.63	NA	0	0
1	1974	2.85	1.85	0.67	NA	0	0
1	1975	1.63	1.81	0.49	NA	0	0
1	1976	2.15	1.78	0.57	NA	0	0
1	1977	1.42	1.75	0.47	NA	0	0
1	1978	2.51	1.72	0.60	NA	0	0
1	1979	0.95	1.69	0.34	NA	0	0
1	1980	1.25	1.66	0.44	NA	0	0
1	1981	1.60	1.64	0.49	NA	0	0
1	1982	1.63	1.61	0.44	NA	0	0
1	1983	1.21	1.58	0.40	NA	0	0
1	1984	1.53	1.55	0.43	NA	0	0
1	1985	0.95	1.53	0.36	NA	0	0
1	1986	1.17	1.50	0.43	NA	0	0
1	1987	1.62	1.48	0.45	NA	0	0
1	1988	0.68	1.45	0.31	NA	0	0
1	1989	1.48	1.43	0.37	NA	0	0
1	1990	0.74	1.40	0.25	NA	0	0
1	1991	1.46	1.38	0.35	NA	0	0
1	1992	1.24	1.36	0.33	NA	0	0
1	1993	1.23	1.33	0.32	NA	0	0
1	1994	1.89	1.31	0.44	NA	0	0
1	1995	1.58	1.29	0.35	NA	0	0
1	1996	1.69	1.27	0.35	NA	0	0
1	1997	0.86	1.24	0.23	NA	0	0
1	1998	0.98	1.22	0.27	NA	0	0
1	1999	0.96	1.20	0.28	NA	0	0
1	2000	1.28	1.18	0.32	NA	0	0
1	2001	1.23	1.16	0.31	NA	0	0
1	2002	0.93	1.14	0.25	NA	0	0
1	2003	1.02	1.12	0.26	NA	0	0
1	2004	1.21	1.10	0.28	NA	0	0
1	2005	0.82	1.09	0.21	NA	0	0
1	2006	0.92	1.07	0.24	NA	0	0
1	2007	0.98	1.05	0.23	NA	0	0
1	2008	1.24	1.03	0.26	NA	0	0
1	2009	1.08	1.01	0.23	NA	0	0
1	2010	0.90	1.00	0.21	NA	0	0
1	2011	0.73	0.98	0.19	NA	0	0
1	2012	0.66	0.96	0.17	NA	0	0
1	2013	0.92	0.95	0.20	NA	0	0
1	2014	1.11	0.93	0.21	NA	0	0
1	2015	0.91	0.91	0.19	NA	0	0
1	2016	0.98	0.90	0.19	NA	0	0
1	2017	1.16	0.88	0.21	NA	0	0
2	1970	5.03	3.73	0.88	NA	1	1
2	1971	2.98	3.80	0.67	NA	1	1
2	1972	4.45	3.88	0.81	NA	1	1
2	1973	3.78	3.96	0.74	NA	1	1
2	1974	2.97	4.04	0.64	NA	1	1
2	1975	2.81	4.12	0.61	NA	1	1
2	1976	4.27	4.20	0.75	NA	1	1
2	1977	4.67	4.28	0.76	NA	1	1
2	1978	3.36	4.37	0.63	NA	1	1
2	1979	5.62	4.45	0.86	NA	1	1
2	1980	3.86	4.54	0.68	NA	1	1
2	1981	5.55	4.63	0.80	Joinpoint 1	1	1
2	1982	3.74	4.53	0.65	NA	1	1
2	1983	4.41	4.43	0.69	NA	1	1
2	1984	3.43	4.33	0.58	NA	1	1
2	1985	3.98	4.23	0.63	NA	1	1
2	1986	4.42	4.14	0.67	NA	1	1
2	1987	4.15	4.04	0.64	NA	1	1
2	1988	4.37	3.95	0.62	NA	1	1
2	1989	2.99	3.86	0.54	NA	1	1
2	1990	4.08	3.78	0.59	NA	1	1
2	1991	4.28	3.69	0.59	NA	1	1
2	1992	5.31	3.61	0.65	NA	1	1
2	1993	3.25	3.53	0.49	NA	1	1
2	1994	4.06	3.45	0.56	NA	1	1
2	1995	3.37	3.37	0.52	NA	1	1
2	1996	3.12	3.30	0.48	NA	1	1
2	1997	2.45	3.22	0.41	NA	1	1
2	1998	3.52	3.15	0.49	NA	1	1
2	1999	2.57	3.08	0.40	NA	1	1
2	2000	2.58	3.01	0.41	NA	1	1
2	2001	3.27	2.94	0.45	NA	1	1
2	2002	2.30	2.88	0.37	NA	1	1
2	2003	2.43	2.81	0.38	NA	1	1
2	2004	2.97	2.75	0.40	NA	1	1
2	2005	1.93	2.69	0.32	NA	1	1
2	2006	2.43	2.63	0.36	NA	1	1
2	2007	2.29	2.57	0.34	NA	1	1
2	2008	2.70	2.51	0.38	NA	1	1
2	2009	2.73	2.45	0.36	NA	1	1
2	2010	2.22	2.40	0.33	NA	1	1
2	2011	2.17	2.34	0.31	NA	1	1
2	2012	2.43	2.29	0.32	NA	1	1
2	2013	1.85	2.24	0.28	NA	1	1
2	2014	2.53	2.19	0.32	NA	1	1
2	2015	2.29	2.14	0.30	NA	1	1
2	2016	2.33	2.09	0.30	NA	1	1
2	2017	2.04	2.04	0.28	NA	1	1
